symbol,entry_ts,exit_ts,side,entry_price,exit_price,stop_price,target_price,pnl_abs,r_multiple,model,entry_reasons,exit_reason,entry_hour
SPY,2025-01-07 10:42:00-05:00,2025-01-07 10:48:00-05:00,short,498.6862,498.88696357142857,498.88696357142857,498.18429107142856,-0.20076357142858114,-1.0,C,MODEL_C_CONT_PULLBACK,STOP_HIT,10
SPY,2025-01-07 10:48:00-05:00,2025-01-07 10:57:00-05:00,short,499.0163,498.6491410714287,499.1631635714285,498.6491410714287,0.36715892857131394,2.5,C,MODEL_C_CONT_PULLBACK,TARGET_HIT,10
SPY,2025-01-07 10:57:00-05:00,2025-01-07 11:42:00-05:00,short,498.697,497.57584107142867,499.14546357142854,497.57584107142867,1.121158928571333,2.5,C,MODEL_C_CONT_PULLBACK,TARGET_HIT,10
SPY,2025-01-07 15:09:00-05:00,2025-01-07 15:12:00-05:00,short,499.4123,499.6118317857143,499.6118317857143,498.91347053571434,-0.19953178571427088,-1.0,C,MODEL_C_CONT_PULLBACK,STOP_HIT,15
SPY,2025-01-07 15:12:00-05:00,2025-01-07 15:21:00-05:00,short,499.5411,499.17827053571426,499.68623178571426,499.17827053571426,0.36282946428570995,2.5,C,MODEL_C_CONT_PULLBACK,TARGET_HIT,15
SPY,2025-01-07 15:24:00-05:00,2025-01-07 15:39:00-05:00,short,499.1327,499.65472785714286,499.65472785714286,497.8276303571429,-0.5220278571428594,-1.0,C,MODEL_C_CONT_PULLBACK,STOP_HIT,15
SPY,2025-01-07 15:39:00-05:00,2025-01-07 15:45:00-05:00,short,499.6859,499.89896785714285,499.89896785714285,499.1532303571429,-0.21306785714284615,-1.0,C,MODEL_C_CONT_PULLBACK,STOP_HIT,15
SPY,2025-01-07 15:45:00-05:00,2025-01-07 15:48:00-05:00,short,499.7776,500.0225692857143,500.0225692857143,499.1651767857142,-0.24496928571431908,-1.0,C,MODEL_C_CONT_PULLBACK,STOP_HIT,15
SPY,2025-01-07 15:48:00-05:00,2025-01-07 15:51:00-05:00,short,500.2043,500.28726928571433,500.28726928571433,499.9968767857141,-0.08296928571434137,-1.0,C,MODEL_C_CONT_PULLBACK,STOP_HIT,15
SPY,2025-01-07 15:51:00-05:00,2025-01-08 09:30:00-05:00,short,499.9812,500.3853692857143,500.3853692857143,498.9707767857142,-0.40416928571431754,-1.0,B,MODEL_B_FAILED_CHOCH,STOP_HIT,15
SPY,2025-01-08 10:03:00-05:00,2025-01-08 10:18:00-05:00,short,500.8617,499.90085535714275,501.2460378571429,499.90085535714275,0.9608446428572393,2.5,C,MODEL_C_CONT_PULLBACK,TARGET_HIT,10
SPY,2025-01-08 10:24:00-05:00,2025-01-08 10:51:00-05:00,short,499.7733,500.08327464285713,500.08327464285713,498.9983633928572,-0.30997464285712795,-1.0,C,MODEL_C_CONT_PULLBACK,STOP_HIT,10
SPY,2025-01-08 10:51:00-05:00,2025-01-08 10:54:00-05:00,short,500.1447,500.1982178571429,500.1982178571429,500.0109053571428,-0.05351785714287871,-1.0,C,MODEL_C_CONT_PULLBACK,STOP_HIT,10
SPY,2025-01-08 10:54:00-05:00,2025-01-08 10:57:00-05:00,short,500.2337,500.3273178571429,500.3273178571429,499.99965535714284,-0.09361785714287407,-1.0,C,MODEL_C_CONT_PULLBACK,STOP_HIT,10
SPY,2025-01-08 10:57:00-05:00,2025-01-08 11:12:00-05:00,short,500.7571,500.19880535714276,500.98041785714287,500.19880535714276,0.55829464285722,2.5,C,MODEL_C_CONT_PULLBACK,TARGET_HIT,10
SPY,2025-01-08 15:03:00-05:00,2025-01-08 15:24:00-05:00,short,497.6086,497.8964553571428,497.8964553571428,496.888961607143,-0.28785535714280286,-1.0,C,MODEL_C_CONT_PULLBACK,STOP_HIT,15
