symbol,entry_ts,exit_ts,side,entry_price,exit_price,stop_price,target_price,pnl_abs,r_multiple,model,entry_reasons,exit_reason,entry_hour
QQQ,2026-01-30 10:12:00-05:00,2026-01-30 10:27:00-05:00,short,627.3400268554688,625.7514523097448,627.9754566737583,625.7514523097448,1.5885745457239864,2.5,C,MODEL_C_CONT_PULLBACK,TARGET_HIT,10
QQQ,2026-01-30 10:33:00-05:00,2026-01-30 10:36:00-05:00,short,624.52001953125,626.0585712977818,626.0585712977818,620.6736401149205,-1.538551766531782,-1.0,C,MODEL_C_CONT_PULLBACK,STOP_HIT,10
QQQ,2026-01-30 10:36:00-05:00,2026-01-30 10:42:00-05:00,short,625.719970703125,627.1585468837193,627.1585468837193,622.1235302516393,-1.438576180594282,-1.0,C,MODEL_C_CONT_PULLBACK,STOP_HIT,10
QQQ,2026-01-30 10:42:00-05:00,2026-01-30 10:48:00-05:00,short,627.275390625,627.5985493251255,627.5985493251255,626.4674938746862,-0.32315870012553205,-1.0,C,MODEL_C_CONT_PULLBACK,STOP_HIT,10
QQQ,2026-01-30 10:48:00-05:00,2026-01-30 10:51:00-05:00,short,627.8699951171875,627.0046413966587,628.216136605399,627.0046413966587,0.8653537205287876,2.5,C,MODEL_C_CONT_PULLBACK,TARGET_HIT,10
QQQ,2026-01-30 10:57:00-05:00,2026-01-30 12:09:00-05:00,short,625.9400024414062,622.3871182032993,627.361156136649,622.3871182032993,3.5528842381069126,2.5,C,MODEL_C_CONT_PULLBACK,TARGET_HIT,10
QQQ,2026-02-02 10:03:00-05:00,2026-02-02 10:06:00-05:00,short,624.5800170898438,624.9579084123884,624.9579084123884,623.6352887834821,-0.37789132254465585,-1.0,C,MODEL_C_CONT_PULLBACK,STOP_HIT,10
QQQ,2026-02-02 10:06:00-05:00,2026-02-02 10:09:00-05:00,short,625.4699096679688,625.6479108537947,625.6479108537947,625.024906703404,-0.17800118582590585,-1.0,C,MODEL_C_CONT_PULLBACK,STOP_HIT,10
QQQ,2026-02-02 10:09:00-05:00,2026-02-02 10:12:00-05:00,short,625.6599731445312,625.8879621233259,625.8879621233259,625.0900006975446,-0.22798897879465585,-1.0,C,MODEL_C_CONT_PULLBACK,STOP_HIT,10
QQQ,2026-02-02 10:12:00-05:00,2026-02-02 10:15:00-05:00,short,626.280029296875,626.4179303850447,626.4179303850447,625.9352765764509,-0.13790108816965585,-1.0,C,MODEL_C_CONT_PULLBACK,STOP_HIT,10
QQQ,2026-02-02 10:15:00-05:00,2026-02-02 11:06:00-05:00,long,626.4199829101562,625.2096906389509,625.2096906389509,629.4457135881697,-1.2102922712053896,-1.0,C,MODEL_C_CONT_PULLBACK,STOP_HIT,10
QQQ,2026-02-03 10:03:00-05:00,2026-02-03 10:15:00-05:00,short,620.7999877929688,618.7882815769742,621.6046702793666,618.7882815769742,2.0117062159945363,2.4999999999999294,C,MODEL_C_CONT_PULLBACK,TARGET_HIT,10
QQQ,2026-02-03 10:15:00-05:00,2026-02-03 10:51:00-05:00,short,619.1500244140625,620.5419882638114,620.5419882638114,615.6701147896903,-1.3919638497488904,-1.0,C,MODEL_C_CONT_PULLBACK,STOP_HIT,10
QQQ,2026-02-03 10:51:00-05:00,2026-02-03 10:57:00-05:00,short,620.239990234375,620.7563040597098,620.7563040597098,618.949205671038,-0.5163138253348052,-1.0,C,MODEL_C_CONT_PULLBACK,STOP_HIT,10
QQQ,2026-02-03 10:57:00-05:00,2026-02-03 11:03:00-05:00,short,620.6199951171875,619.7292960030693,620.9762747628348,619.7292960030693,0.8906991141182061,2.4999999999998406,C,MODEL_C_CONT_PULLBACK,TARGET_HIT,10
QQQ,2026-02-04 10:03:00-05:00,2026-02-04 10:09:00-05:00,short,609.530029296875,611.4326307024274,611.4326307024274,604.7735257829938,-1.9026014055524456,-1.0,C,MODEL_C_CONT_PULLBACK,STOP_HIT,10
QQQ,2026-02-04 10:09:00-05:00,2026-02-04 10:12:00-05:00,short,611.510009765625,611.8826429094587,611.8826429094587,610.5784269060407,-0.3726331438336956,-1.0,C,MODEL_C_CONT_PULLBACK,STOP_HIT,10
QQQ,2026-02-04 10:12:00-05:00,2026-02-04 10:24:00-05:00,short,610.760009765625,612.1126233782087,612.1126233782087,607.3784757341657,-1.3526136125836956,-1.0,C,MODEL_C_CONT_PULLBACK,STOP_HIT,10
QQQ,2026-02-04 10:24:00-05:00,2026-02-04 10:27:00-05:00,short,612.0499877929688,612.6104707990374,612.6104707990374,610.648780277797,-0.5604830060686936,-1.0,C,MODEL_C_CONT_PULLBACK,STOP_HIT,10
QQQ,2026-02-04 10:27:00-05:00,2026-02-04 11:09:00-05:00,short,611.4849853515625,607.0712351117813,613.250485447475,607.0712351117813,4.413750239781166,2.5000000000000324,C,MODEL_C_CONT_PULLBACK,TARGET_HIT,10
