symbol,trades,win_rate,expectancy,avg_r,rejections
QQQ,83,0.3855421686746988,0.23263623078390314,0.1566265060240964,1929
SPY,0,0.0,0.0,0.0,2487
AAPL,0,0.0,0.0,0.0,2487
IWM,0,0.0,0.0,0.0,2487
