symbol,fold,bars,trades,win_rate,expectancy,avg_r,rejections
QQQ,1,622,5,0.8,2.314354487827859,1.7999999999999936,286
QQQ,2,622,23,0.2608695652173913,0.004174558272275728,-0.08695652173913043,534
QQQ,3,622,23,0.30434782608695654,0.3338399188118689,0.06521739130434492,478
QQQ,4,623,17,0.29411764705882354,-0.1020033123112532,0.02941176470591161,460
SPY,1,622,9,0.3333333333333333,-0.22221484714085213,0.16666666666669525,336
SPY,2,622,23,0.30434782608695654,0.2369354153271833,0.06521739130434519,531
SPY,3,622,20,0.35,0.10467439923968982,0.22500000000001022,486
SPY,4,623,18,0.2222222222222222,-0.16201963878813153,-0.2222222222222314,547
